"db","subgroup","outcome","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"MIMIC","G1","death_7d_all",2746,0.00509832483612527,0.0160233066278223,0.314687874351277,0.17203575089318,0.575627203936309,0.000175027499094405,-0.010924981791697,-0.0163253355629731,-0.00552462802042092,7.42967620233209e-05
"MIMIC","G1","death_7d_never",2106,0.00379867046533713,0.00997150997150997,0.37859185623134,0.167282221408364,0.856826220969377,0.0197639842903815,-0.00617283950617285,-0.0111650956044032,-0.00118058340794246,0.0154133578686098
"MIMIC","G1","death_7d_censored",2148,0.00418994413407821,0.00977653631284916,0.426167100790135,0.194700686268987,0.932808205642153,0.0328403713071925,-0.00558659217877096,-0.0105653082614624,-0.000607876096079497,0.0279092850583102
"MIMIC","G1","hosp_mort_descriptive",2746,0.00837581937363438,0.0458849235251275,0.175634950161896,0.112243933049536,0.27482675348482,2.65370970468024e-14,-0.037509104151493,-0.0460468241572571,-0.028971384145729,9.3488341877666e-18
"MIMIC","G2","aki1_48h",1639,0.38071995118975,0.223917022574741,2.130784821677,1.82828526122967,2.48333454990247,3.52961136558893e-22,0.156802928615009,0.125810698254855,0.187795158975164,7.38543288948915e-23
"MIMIC","G2","aki2_48h",1639,0.0536912751677852,0.0207443563148261,2.67834792269454,1.79174590274743,4.00366345696807,1.56034217429658e-06,0.0329469188529591,0.0200316698796693,0.0458621678262488,6.03487556240575e-07
"MIMIC","G2","aki3_48h",1639,0.0024405125076266,0.00671140939597315,0.362079532339742,0.115015267676978,1.13986247554166,0.0825169669775668,-0.00427089688834654,-0.00889089541994307,0.000349101643249998,0.0700937580961201
"MIMIC","G2","aki1_7d",1469,0.424098025867937,0.269571136827774,1.99536440050083,1.70897182517204,2.32975115923004,2.34574586338588e-18,0.154526889040163,0.120550128720891,0.188503649359436,8.45011879119008e-19
"MIMIC","G2","aki2_7d",1469,0.0959836623553438,0.0394826412525528,2.582974137931,1.88521206863895,3.53899463524925,3.49711602271456e-09,0.0565010211027909,0.038436901534932,0.0745651406706499,9.93246177057936e-10
"MIMIC","G2","aki3_7d",1469,0.0190605854322668,0.0156569094622192,1.22161542407143,0.700202013313265,2.13130527469871,0.480848155515666,0.00340367597004766,-0.00604406236304417,0.0128514143031395,0.480171653061424
"MIMIC","G2","aki2_rrt_48h",1639,0.0543014032946919,0.0250152532031727,2.23795436612537,1.53565682211432,3.26143163806865,2.75930863198381e-05,0.0292861500915192,0.0159580505640262,0.0426142496190123,1.7052918827312e-05
"MIMIC","G2","aki2_rrt_7d",1469,0.0973451327433628,0.0415248468345813,2.48923152859229,1.8273952806133,3.39076808869635,7.3315962610029e-09,0.0558202859087815,0.0375419447727812,0.0740986270447818,2.41652710564438e-09
"MIMIC","G2","death_48h_all",1894,0.0058078141499472,0.00369588173178458,1.57476670938525,0.608998398092352,4.07207998700185,0.348836443344374,0.00211193241816261,-0.00226874742680545,0.00649261226313066,0.344760537827893
"MIMIC","G2","death_48h_never",1429,0.00489853044086774,0.00349895031490553,1.4019690570855,0.443732548326327,4.42950882111028,0.56484810852135,0.00139958012596221,-0.00334313869235909,0.00614229894428352,0.563041337945722
"MIMIC","G2","death_48h_censored",1639,0.0061012812690665,0.00305064063453325,2.0061387290043,0.683968234327131,5.88418057743613,0.204752602773836,0.00305064063453327,-0.00157049159268336,0.0076717728617499,0.195793219920609
"MIMIC","G2","death_7d_all",1894,0.00950369588173178,0.0142555438225977,0.663468372628552,0.3641194146817,1.2089173598809,0.180170499884151,-0.00475184794086587,-0.0116526172865302,0.00214892140479847,0.177209034771091
"MIMIC","G2","death_7d_never",1429,0.00909727081875437,0.00769769069279216,1.18348740871852,0.528271133454599,2.6513704003394,0.682277245190607,0.00139958012596221,-0.00529367707781885,0.00809283732974328,0.681952687759438
"MIMIC","G2","death_7d_censored",1469,0.00884955752212389,0.00748808713410483,1.183441547088,0.528303508339898,2.65100245079759,0.682309091760326,0.00136147038801905,-0.00515022721892695,0.00787316799496506,0.681983883301014
"MIMIC","G2","hosp_mort_descriptive",1894,0.0227032734952482,0.058078141499472,0.376759491615726,0.263236961561194,0.539239298617807,9.49976245750293e-08,-0.0353748680042238,-0.0478666357551899,-0.0228831002532577,3.04503406462333e-08
"MIMIC","G3plus","aki1_48h",671,0.600596125186289,0.251862891207153,4.4667049368408,3.53799170848968,5.63920286893918,2.55669545576188e-36,0.348733233979136,0.299177151929897,0.398289316028375,1.44492674000851e-40
"MIMIC","G3plus","aki2_48h",671,0.0625931445603577,0.0327868852459016,1.96979332273211,1.16203451615381,3.33904516633689,0.0118118698818857,0.0298062593144561,0.00704103090011519,0.052571487728797,0.0103896560809007
"MIMIC","G3plus","aki3_48h",671,0.0357675111773472,0.00447093889716841,8.25965996903624,2.47285933787924,27.5882990023233,0.000600447710005829,0.0312965722801789,0.0163544639461604,0.0462386806141973,4.28260475296238e-05
"MIMIC","G3plus","aki1_7d",585,0.620512820512821,0.276923076923077,4.26951951950935,3.33659786865479,5.46328854870984,8.3868803540808e-31,0.343589743589743,0.290053230767014,0.397126256412473,4.01844098249469e-34
"MIMIC","G3plus","aki2_7d",585,0.126495726495726,0.064957264957265,2.08456071677062,1.38386489417067,3.14004163282671,0.000440902901277849,0.0615384615384615,0.0279768667373521,0.0951000563395708,0.000339398933376573
"MIMIC","G3plus","aki3_7d",585,0.0717948717948718,0.0256410256410256,2.93922651889701,1.61039041353178,5.36457026618838,0.000444462534822198,0.0461538461538461,0.0216036984362391,0.0707039938714532,0.0002394020774094
"MIMIC","G3plus","aki2_rrt_48h",671,0.0894187779433681,0.0357675111773472,2.64729950900119,1.62751063000764,4.30608228366843,8.77189770267052e-05,0.0536512667660208,0.0278713520269871,0.0794311815050546,4.7894068723976e-05
"MIMIC","G3plus","aki2_rrt_7d",585,0.153846153846154,0.0666666666666667,2.5454545453926,1.71433200954816,3.77951225700299,3.60901356725073e-06,0.0871794871794871,0.0516039157327417,0.122755058626233,1.76539361610546e-06
