"db","variant","stratum","horizon","outcome","method","composition","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"MIMIC","pooled","Overall","7d","new_rrt","dr",NA,65,25,FALSE,4202,0.0154688243693479,0.00594954783436459,4.41899359140249,2.8753023087431,6.79146130181786,1.22808434128752e-11,0.0114844573285417,0.00715288382230466,0.0158160308347787,2.07719283532519e-07
"MIMIC","pooled","Overall","7d","death","psm",NA,49,40,FALSE,4202,0.0116611137553546,0.00951927653498334,1.22765470708156,0.806693850309897,1.86828755325274,0.338390893240522,0.00214183722037125,-0.00223551049045408,0.00651918493119657,0.337572013073358
"MIMIC","pooled","Overall","7d","death","dr",NA,49,40,FALSE,4202,0.0116611137553546,0.00951927653498334,1.70431861113038,1.08588970539052,2.6749511610857,0.0204337497471092,0.00396196974291975,-0.000449649963003652,0.00837358944884314,0.0784053988557974
"MIMIC","egfr","G1","48h","make","psm","AKI stage>=2 OR new RRT OR fixed-window death",115,63,FALSE,2489,0.0462032944957814,0.0253113700281237,1.86538024329459,1.36481192898902,2.54954062033391,9.19074386172199e-05,0.0208919244676577,0.0105896458069613,0.0311942031283541,7.14747260722429e-05
"MIMIC","egfr","G1","48h","make","dr","AKI stage>=2 OR new RRT OR fixed-window death",115,63,FALSE,2489,0.0462032944957814,0.0253113700281237,2.02397170123652,1.46500042130163,2.79621861389406,1.90569023320498e-05,0.0231947600577871,0.012701427981869,0.0336880921337052,1.50372719625263e-05
"MIMIC","egfr","G1","48h","aki2","psm",NA,108,62,FALSE,2489,0.0433909200482121,0.0249096022498996,1.77558900390944,1.29264659596904,2.43896229691507,0.000392741276284084,0.0184813177983126,0.00840191515201808,0.0285607204446071,0.000329040888118579
"MIMIC","egfr","G1","48h","aki2","dr",NA,108,62,FALSE,2489,0.0433909200482121,0.0249096022498996,1.90649294525555,1.37632294668501,2.64088843324431,0.000103901382088313,0.0204318831688154,0.0102187184079145,0.0306450479297164,8.93449874545791e-05
"MIMIC","egfr","G1","48h","new_rrt","psm",NA,4,0,TRUE,2489,0.00160707111289675,0,NA,NA,NA,NA,NA,NA,NA,NA
"MIMIC","egfr","G1","48h","new_rrt","dr",NA,4,0,TRUE,2489,0.00160707111289675,0,NA,NA,NA,NA,NA,NA,NA,NA
"MIMIC","egfr","G1","48h","death","psm",NA,4,1,TRUE,2489,0.00160707111289675,0.000401767778224186,4.00482895265562,0.447091886393534,35.873285622346,0.214838506569464,0.00120530333467255,-0.000554672111974278,0.00296527878131938,0.179563755978332
"MIMIC","egfr","G1","48h","death","dr",NA,4,1,TRUE,2489,0.00160707111289675,0.000401767778224186,5.16631721308331,0.437419856620374,61.0187972544767,0.192367668748245,0.00143394808140503,-0.000610074054044085,0.00347797021685415,0.16919221641695
"MIMIC","egfr","G1","7d","make","psm","AKI stage>=2 OR new RRT OR fixed-window death",144,119,FALSE,2307,0.0624187256176853,0.0515821413090594,1.22407020641628,0.953270535532778,1.5717971073118,0.112997718725081,0.0108365843086259,-0.00254222949834429,0.0242153981155961,0.112453817056718
"MIMIC","egfr","G1","7d","make","dr","AKI stage>=2 OR new RRT OR fixed-window death",144,119,FALSE,2307,0.0624187256176853,0.0515821413090594,1.36812962824456,1.06121531589207,1.76380669563477,0.0155879680355914,0.0153422213070775,0.00215474695362092,0.028529695660534,0.0226382712607379
"MIMIC","egfr","G1","7d","aki2","psm",NA,133,118,FALSE,2307,0.0576506285218899,0.0511486779367143,1.13489544758406,0.879508991954084,1.46443946421218,0.330610656487682,0.00650195058517559,-0.00658832155721844,0.0195922227275696,0.33033909733266
"MIMIC","egfr","G1","7d","aki2","dr",NA,133,118,FALSE,2307,0.0576506285218899,0.0511486779367143,1.26342585405113,0.97624545226106,1.63508560781288,0.0755241886395851,0.0107570752548186,-0.00211470633153142,0.0236288568411686,0.101491763810721
"MIMIC","egfr","G1","7d","new_rrt","psm",NA,5,0,TRUE,2307,0.00216731686172518,0,37280197.5479808,15499100.0113801,89670569.7876664,0,0.00216731686172521,0.000269228233862208,0.00406540548958821,0.0252679596259952
"MIMIC","egfr","G1","7d","new_rrt","dr",NA,5,0,TRUE,2307,0.00216731686172518,0,34983996.8524756,14418675.5590549,84881585.0499825,8.89318162514244e-323,0.00218187939675953,0.000266662871454028,0.00409709592206504,0.0256034977093057
