"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"EICU","aki1_48h","OR",68,1887,454,422,1.2016156272705,0.964974396794505,1.49628852381682,0.10071979262462,"G2_60_89",FALSE
"EICU","aki1_48h","OR",70,1887,454,422,1.14692685622543,0.927770684456943,1.41785166913429,0.205133728788247,"G2_60_89",FALSE
"EICU","aki1_48h","OR",72,1887,454,422,1.09406863830813,0.889837479191481,1.34517393717446,0.393755966694382,"G2_60_89",FALSE
"EICU","aki1_48h","OR",74,1887,454,422,1.04344410117545,0.85122756436407,1.27906524395888,0.682254238266084,"G2_60_89",FALSE
"EICU","aki1_48h","OR",76,1887,454,422,0.995374841461877,0.812258834583838,1.2197726055179,0.964351081159447,"G2_60_89",FALSE
"EICU","aki1_48h","OR",78,1887,454,422,0.950110380261844,0.773501999197249,1.16704253591865,0.625722131766643,"G2_60_89",FALSE
"EICU","aki1_48h","OR",80,1887,454,422,0.907838252599145,0.735695145706369,1.1202606102436,0.36739885455364,"G2_60_89",FALSE
"EICU","aki1_48h","OR",82,1887,454,422,0.868694326716273,0.699617372294032,1.07863221119656,0.202450287951799,"G2_60_89",FALSE
"EICU","aki1_48h","OR",84,1887,454,422,0.832773053259404,0.665971885306891,1.04135170498287,0.108563751267556,"G2_60_89",FALSE
"EICU","aki1_48h","OR",86,1887,454,422,0.800137443128776,0.635311527700429,1.00772597376596,0.0581448522395787,"G2_60_89",FALSE
"EICU","aki1_48h","OR",88,1887,454,422,0.770828663439413,0.60800908445188,0.977249918749885,0.0315476468702329,"G2_60_89",FALSE
"EICU","aki1_48h","OR",90,1887,454,422,0.744875222931572,0.584255194647196,0.949651971981865,0.0174594380530881,"G1_ge90",FALSE
"EICU","aki1_48h","OR",92,1887,454,422,0.722245101134205,0.563978491876711,0.924925318298116,0.0099256009013826,"G1_ge90",FALSE
"EICU","aki1_48h","OR",94,1887,454,422,0.702696397353967,0.546624916899309,0.903329159700931,0.00589813437045479,"G1_ge90",FALSE
"EICU","aki1_48h","OR",96,1887,454,422,0.685970516255518,0.531475915163482,0.885375114368296,0.00379027430802303,"G1_ge90",FALSE
"EICU","aki1_48h","OR",98,1887,454,422,0.671846915460254,0.517761330467036,0.871788314910079,0.002768904909545,"G1_ge90",FALSE
"EICU","aki1_48h","OR",100,1887,454,422,0.660138277238473,0.504696475396989,0.863454702616254,0.00243144373074274,"G1_ge90",FALSE
"EICU","aki1_48h","OR",102,1887,454,422,0.650686457446357,0.491546900302488,0.861347850314065,0.00267292800823656,"G1_ge90",FALSE
"EICU","aki1_48h","OR",104,1887,454,422,0.643359087583988,0.477713289298764,0.866442120930907,0.00368570410438928,"G1_ge90",FALSE
"EICU","aki1_48h","OR",106,1887,454,422,0.638046727815429,0.46280578067165,0.879642484770099,0.00609237759485521,"G1_ge90",FALSE
"EICU","aki1_48h","OR",108,1887,454,422,0.634660486707619,0.446672032364112,0.901766630106824,0.0111822576517405,"G1_ge90",FALSE
"EICU","aki1_48h","OR",110,1887,454,422,0.633130038097058,0.429367381058755,0.933591285281935,0.0210659513874383,"G1_ge90",FALSE
"EICU","aki1_48h","OR",112,1887,454,422,0.63340197750761,0.411087727182932,0.975942696854142,0.0384142547873802,"G1_ge90",FALSE
"EICU","aki1_48h","OR",114,1887,454,422,0.635438470418804,0.392097682516048,1.02979963333923,0.0656519861295942,"G1_ge90",FALSE
"EICU","aki1_48h","OR",116,1887,454,422,0.639216152821447,0.372675630393667,1.09638853926735,0.104011951874527,"G1_ge90",FALSE
"EICU","aki1_48h","OR",118,1887,454,422,0.644725251216721,0.353080944849003,1.17726729697698,0.153068481033083,"G1_ge90",FALSE
"EICU","aki1_48h","OR",120,1887,454,422,0.651968894773583,0.333538939665629,1.27440424251037,0.210967284823719,"G1_ge90",FALSE
"EICU","aki1_48h","RD",30,1887,454,422,0.151045511357123,0.069713965065988,0.232377057648259,0.000272607139308539,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",32,1887,454,422,0.147034307706586,0.0730586641857491,0.221009951227422,9.7913730524309e-05,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",34,1887,454,422,0.142850548210032,0.0753542978059363,0.210346798614128,3.3511849065819e-05,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",36,1887,454,422,0.138483448127086,0.0765129233038973,0.200453972950275,1.18708669493359e-05,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",38,1887,454,422,0.133922222717372,0.0764667569349228,0.191377688499822,4.91134861839709e-06,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",40,1887,454,422,0.129156087240514,0.0751859232508072,0.183126251230221,2.72565953003593e-06,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",42,1887,454,422,0.124174256956136,0.0726956487419078,0.175652865170365,2.26944311474891e-06,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",44,1887,454,422,0.118965947123862,0.0690849895806724,0.168846904667052,2.94534802107572e-06,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",46,1887,454,422,0.113520373003316,0.064500824485736,0.162539921520897,5.65205405862232e-06,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",48,1887,454,422,0.107826749854122,0.0591280248246435,0.156525474883601,1.42643067153062e-05,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",50,1887,454,422,0.101874292935904,0.0531638899908373,0.150584695880971,4.14583228552712e-05,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",52,1887,454,422,0.0956522175082859,0.0467960183680419,0.14450841664853,0.000124369045456786,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",54,1887,454,422,0.0891497388308916,0.0401882937352534,0.13811118392653,0.00035862332498482,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",56,1887,454,422,0.0823560721633453,0.0334745838173547,0.131237560509336,0.000959194939605655,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",58,1887,454,422,0.0752604327652708,0.0267572096567352,0.123763655873807,0.00235597785841034,"G3plus_lt60",FALSE
"EICU","aki1_48h","RD",60,1887,454,422,0.0678520358962924,0.0201070009841772,0.115597070808407,0.00534583770295572,"G2_60_89",FALSE
"EICU","aki1_48h","RD",62,1887,454,422,0.0601327578108828,0.0135601071087786,0.106705408512987,0.0113843540214432,"G2_60_89",FALSE
"EICU","aki1_48h","RD",64,1887,454,422,0.0521551187429109,0.00711155384907637,0.0971986836367455,0.0232410900019718,"G2_60_89",FALSE
