"db","variant","stratum","horizon","outcome","method","composition","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","egfr","G1","48h","death","psm",NA,8,0,TRUE,580,0.0137931034482759,0,88310632.6596017,43924158.1590605,177550764.035085,0,0.0137931034482759,0.00429292410728431,0.0232932827892674,0.00450976638021955
"EICU","egfr","G1","48h","death","dr",NA,8,0,TRUE,580,0.0137931034482759,0,76853476.8756167,35341873.5264932,167123480.407549,0,0.0132598221324212,0.00395277399328095,0.0225668702715614,0.0053178225781516
"EICU","egfr","G1","7d","make","psm","AKI stage>=2 OR new RRT OR fixed-window death",40,19,TRUE,569,0.070298769771529,0.0333919156414763,2.18883693164681,1.25092434392506,3.82997352046741,0.00606387399826883,0.0369068541300527,0.0112098860515534,0.0626038222085519,0.00496170434663037
"EICU","egfr","G1","7d","make","dr","AKI stage>=2 OR new RRT OR fixed-window death",40,19,TRUE,569,0.070298769771529,0.0333919156414763,2.15858122272557,1.22706378687624,3.79725401803691,0.00758367881477405,0.036084179365678,0.0103463281592965,0.0618220305720595,0.0060931380950434
"EICU","egfr","G1","7d","aki2","psm",NA,26,14,TRUE,569,0.0456942003514939,0.0246045694200351,1.89818468766003,0.980100710600188,3.67626007153955,0.0573807297999696,0.0210896309314587,-0.00029356804130341,0.0424728299042207,0.0534732164021767
"EICU","egfr","G1","7d","aki2","dr",NA,26,14,TRUE,569,0.0456942003514939,0.0246045694200351,1.97162487452489,1.0103163632635,3.84761129008008,0.0465812731498584,0.0223314509470036,0.00070105845559237,0.0439618434384149,0.0432536246948414
"EICU","egfr","G1","7d","new_rrt","psm",NA,4,1,TRUE,569,0.0070298769771529,0.00175746924428822,4.02123893804443,0.447186359351256,36.1602322134858,0.214299551606771,0.00527240773286468,-0.00241375083174442,0.0129585662974738,0.179060241993525
"EICU","egfr","G1","7d","new_rrt","dr",NA,4,1,TRUE,569,0.0070298769771529,0.00175746924428822,4.42808467338192,0.531059253642421,36.9223090270121,0.169095126166283,0.00567495827512243,-0.00205694119523481,0.0134068577454797,0.150547353648833
"EICU","egfr","G1","7d","death","psm",NA,19,5,TRUE,569,0.0333919156414763,0.00878734622144113,3.89672726860754,1.44360338188835,10.5184592918084,0.00726002458798073,0.0246045694200352,0.00795491979937587,0.0412542190406945,0.00384638626218794
"EICU","egfr","G1","7d","death","dr",NA,19,5,TRUE,569,0.0333919156414763,0.00878734622144113,3.48391024969326,1.27256620816719,9.53791680937288,0.0151367847221653,0.0221088541702274,0.00566162206895824,0.0385560862714965,0.00853639138056306
"EICU","egfr","G2","48h","make","psm","AKI stage>=2 OR new RRT OR fixed-window death",41,42,FALSE,762,0.0538057742782152,0.0551181102362205,0.974836537136862,0.626065276120672,1.51790286154414,0.910185567620461,-0.00131233595800525,-0.0241138137365975,0.021489141820587,0.91019802161321
"EICU","egfr","G2","48h","make","dr","AKI stage>=2 OR new RRT OR fixed-window death",41,42,FALSE,762,0.0538057742782152,0.0551181102362205,0.944200172417145,0.606812023656417,1.46917650085548,0.799077549774336,-0.00310958462747646,-0.025909610483522,0.019690441228569,0.789263029476833
"EICU","egfr","G2","48h","aki2","psm",NA,28,28,FALSE,762,0.036745406824147,0.036745406824147,1,0.586208100416778,1.70587884965941,1,1.34349638009782e-17,-0.0189038740505781,0.0189038740505781,0.999999999999999
"EICU","egfr","G2","48h","aki2","dr",NA,28,28,FALSE,762,0.036745406824147,0.036745406824147,0.962926189018584,0.568417082110217,1.63124380790172,0.888286911576593,-0.00137096579046305,-0.0200478812323597,0.0173059496514336,0.88562030170543
