"db","analysis","cut","stratum","outcome","method","events_trt","events_ctl","sparse_lt20","match_rate","max_smd","n_viol","adjustment_vars","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","albumin_stratified",3.5,"normal","aki2_48h","psm",23,20,FALSE,0.967071057192374,0.223504667297459,7,"",552,0.0416666666666667,0.036231884057971,1.1565217391303,0.627283438922465,2.13227777123938,0.641296543074871,0.00543478260869565,-0.0174093817145319,0.0282789469319232,0.641094813574307
"EICU","albumin_stratified",3.5,"normal","aki2_48h","dr",23,20,FALSE,0.967071057192374,0.223504667297459,7,"surg_cabg;heart_failure;pvd;egfr;last_lactate;last_lactate_missing;last_hemoglobin",552,0.0416666666666667,0.036231884057971,1.06345418151803,0.566656765037012,1.9958021609683,0.848096736668862,0.00305760787467828,-0.0200883602108618,0.0262035759602183,0.7957470503568
"EICU","albumin_stratified",3.5,"normal","aki1_7d","psm",138,134,FALSE,0.967071057192374,0.223504667297459,7,"",544,0.253676470588235,0.246323529411765,1.03999705903992,0.79016560950252,1.36881923207547,0.779638126489246,0.00735294117647057,-0.0441528587172015,0.0588587410701426,0.779677652646768
"EICU","albumin_stratified",3.5,"normal","aki1_7d","dr",138,134,FALSE,0.967071057192374,0.223504667297459,7,"surg_cabg;heart_failure;pvd;egfr;last_lactate;last_lactate_missing;last_hemoglobin",544,0.253676470588235,0.246323529411765,1.03587889160879,0.779534947457917,1.37651952818777,0.807995529250304,0.0046844236162986,-0.0475395762446591,0.0569084234772563,0.860476669559063
"EICU","albumin_stratified",3.5,"normal","aki2_7d","psm",34,24,FALSE,0.967071057192374,0.223504667297459,7,"",544,0.0625,0.0441176470588235,1.44444438715498,0.844169214413532,2.47156559604347,0.179646717083283,0.0183823529411765,-0.00831763568875943,0.0450823415711125,0.17748438527819
"EICU","albumin_stratified",3.5,"normal","aki2_7d","dr",34,24,FALSE,0.967071057192374,0.223504667297459,7,"surg_cabg;heart_failure;pvd;egfr;last_lactate;last_lactate_missing;last_hemoglobin",544,0.0625,0.0441176470588235,1.31709891623755,0.767670381943919,2.25975834935998,0.317293082513542,0.0131914310239842,-0.013665468303527,0.0400483303514953,0.335912522617253
"EICU","albumin_stratified",3.5,"missing","aki1_48h","psm",182,136,FALSE,0.994301994301994,0.205633669506504,5,"",692,0.263005780346821,0.196531791907514,1.4589388696696,1.13308803433261,1.87849713432592,0.00340191029187893,0.0664739884393063,0.0222530033559107,0.110694973522702,0.00326971175784061
"EICU","albumin_stratified",3.5,"missing","aki1_48h","dr",182,136,FALSE,0.994301994301994,0.205633669506504,5,"hypertension;diabetes;last_lactate_missing;last_heartrate;surg_aortic",692,0.263005780346821,0.196531791907514,1.46832071355211,1.13642030664571,1.89715522086172,0.00330119983780286,0.0665581281186029,0.0224415776777772,0.110674678559429,0.0031591178337097
"EICU","albumin_stratified",3.5,"missing","aki2_48h","psm",23,18,TRUE,0.994301994301994,0.205633669506504,5,"",692,0.0332369942196532,0.0260115606936416,1.28732768628248,0.688048647073337,2.40856889831624,0.429408896374529,0.0072254335260116,-0.010648793812208,0.0250996608642312,0.428318509410823
"EICU","albumin_stratified",3.5,"missing","aki2_48h","dr",23,18,TRUE,0.994301994301994,0.205633669506504,5,"hypertension;diabetes;last_lactate_missing;last_heartrate;surg_aortic",692,0.0332369942196532,0.0260115606936416,1.26035701280303,0.668867347336451,2.37491007155227,0.47408683458328,0.00671232423028902,-0.011079234721324,0.0245038831819021,0.45975343928193
"EICU","albumin_stratified",3.5,"missing","aki1_7d","psm",196,154,FALSE,0.994301994301994,0.205633669506504,5,"",691,0.283646888567294,0.222865412445731,1.38071625344432,1.08175138130535,1.76230639079462,0.00956493660309042,0.060781476121563,0.0150042717069516,0.106558680536174,0.00935587638937551
"EICU","albumin_stratified",3.5,"missing","aki1_7d","dr",196,154,FALSE,0.994301994301994,0.205633669506504,5,"hypertension;diabetes;last_lactate_missing;last_heartrate;surg_aortic",691,0.283646888567294,0.222865412445731,1.40704198211287,1.09807262444566,1.802947360087,0.00694234248385022,0.0633421190578934,0.0176101824412421,0.109074055674545,0.00671564629057408
"EICU","albumin_stratified",3.5,"missing","aki2_7d","psm",32,33,FALSE,0.994301994301994,0.205633669506504,5,"",691,0.0463096960926194,0.0477568740955137,0.968225509451425,0.58814755139314,1.59392083658585,0.89897052113139,-0.00144717800289436,-0.0237872984324674,0.0208929424266787,0.898984631023198
