"set","outcome","outcome_type","method","match_rate","max_smd","n_viol","covariate_count","mice_logged_events","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p","mean_trt","mean_ctl","did","did_ci_lo","did_ci_hi","did_p"
"S1","death_48h_all","binary","psm",0.999815770081061,0.248382318818102,3,20,50,5427,0.00571217984153308,0.00552791597567717,1.03352483320974,0.624715190496886,1.70985690296984,0.897847750543904,0.000184263865855908,-0.00262878342617684,0.00299731115788866,0.897845526739373,NA,NA,NA,NA,NA,NA
"S1","death_48h_all","binary","dr",0.999815770081061,0.248382318818102,3,20,50,5427,0.00571217984153308,0.00552791597567717,1.78367982309385,1.00296520165165,3.17210777210702,0.0488292104558875,0.00265759744143248,-0.00044193508779279,0.00575712997065775,0.0928809266475066,NA,NA,NA,NA,NA,NA
"S1","death_48h_never","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4279,0.00560878709978967,0.00607618602477214,0.922643044382221,0.528866670646623,1.60961209052195,0.776744381992029,-0.000467398924982409,-0.00369719496618135,0.00276239711621653,0.776692539133448,NA,NA,NA,NA,NA,NA
"S1","death_48h_never","binary","dr",0.999815770081061,0.248382318818102,3,20,50,4279,0.00560878709978967,0.00607618602477214,1.12593683174174,0.646452956329401,1.96106110531368,0.675221936867325,0.000359078363110323,-0.00286081372276114,0.00357897044898178,0.826984970577184,NA,NA,NA,NA,NA,NA
"S1","death_48h_censored","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4823,0.00559817540949616,0.00539083557951483,1.03867806505413,0.60523311013514,1.78253982599151,0.890464018712582,0.000207339829981357,-0.00274335936721798,0.00315803902718069,0.890460362605224,NA,NA,NA,NA,NA,NA
"S1","death_48h_censored","binary","dr",0.999815770081061,0.248382318818102,3,20,50,4823,0.00559817540949616,0.00539083557951483,1.62507844583855,0.887760325272389,2.97476681481428,0.115474266358805,0.00209674199295948,-0.00112063820833878,0.00531412219425773,0.201521129473981,NA,NA,NA,NA,NA,NA
"S1","death_7d_all","binary","psm",0.999815770081061,0.248382318818102,3,20,50,5427,0.0123456790123457,0.0186106504514465,0.659158415843493,0.482890837395424,0.899768195066234,0.00865825280463071,-0.0062649714391008,-0.0109086667033399,-0.00162127617486167,0.00819767862832017,NA,NA,NA,NA,NA,NA
"S1","death_7d_all","binary","dr",0.999815770081061,0.248382318818102,3,20,50,5427,0.0123456790123457,0.0186106504514465,1.13412357813143,0.810593881903503,1.58678262837758,0.462634308591713,0.000494463811906584,-0.00411283716531225,0.00510176478912542,0.833397903567951,NA,NA,NA,NA,NA,NA
"S1","death_7d_never","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4279,0.0116849731245618,0.0100490768871232,1.16471539247663,0.773033342602717,1.75485567143145,0.465956653141416,0.00163589623743864,-0.00275769689017807,0.00602948936505536,0.465544617730569,NA,NA,NA,NA,NA,NA
"S1","death_7d_never","binary","dr",0.999815770081061,0.248382318818102,3,20,50,4279,0.0116849731245618,0.0100490768871232,1.41318094882375,0.932327807154576,2.1420367158343,0.103145798310891,0.0031529629100394,-0.00120981390310091,0.00751573972317971,0.156670016558717,NA,NA,NA,NA,NA,NA
"S1","death_7d_censored","binary","psm",0.999815770081061,0.248382318818102,3,20,50,4380,0.0114155251141553,0.00981735159817352,1.16467049768191,0.773044304809169,1.75469550675426,0.466012036361948,0.00159817351598171,-0.0026946413751267,0.00589098840709012,0.465599780693155,NA,NA,NA,NA,NA,NA
