"db","database_role","analysis_set","variant","stratum","outcome","method","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"IUH","external_validation","primary","egfr_reported","G3plus","aki3_7d","dr",179,0.0670391061452514,0.0223463687150838,3.17080787451561,1.03229689056326,9.73946804354349,0.0438505079906965,0.0430630851311319,-0.00065542748482026,0.086781597747084,0.0543450865244224
"IUH","external_validation","primary","egfr_reported","G3plus","aki2_rrt_48h","psm",218,0.0871559633027523,0.137614678899083,0.598324958123962,0.325210661562298,1.10080264218356,0.0986891459755756,-0.0504587155963299,-0.109699147030379,0.00878171583771938,0.0957488432245794
"IUH","external_validation","primary","egfr_reported","G3plus","aki2_rrt_48h","dr",218,0.0871559633027523,0.137614678899083,0.55509518501296,0.293870861853401,1.04852404379678,0.0696815469890098,-0.0574283213863949,-0.11385671809293,-0.000999924679859682,0.0467103627419405
"IUH","external_validation","primary","egfr_reported","G3plus","aki2_rrt_7d","psm",179,0.139664804469274,0.0949720670391061,1.5469823571221,0.80253843728368,2.98198105170773,0.192561736743933,0.0446927374301678,-0.0220027685310111,0.111388243391347,0.189894616630434
"IUH","external_validation","primary","egfr_reported","G3plus","aki2_rrt_7d","dr",179,0.139664804469274,0.0949720670391061,1.35160384457032,0.667354057147679,2.73742690718821,0.402720730425732,0.0287215396525026,-0.0373397089517355,0.0947827882567406,0.394717539238245
"IUH","external_validation","primary","egfr_reported","G3plus","death_48h_all","psm",277,0.0144404332129964,0.0288808664259928,0.492673992674035,0.14629869152069,1.65912395069541,0.253150988278594,-0.0144404332129962,-0.0386988349508682,0.00981796852487569,0.24381915381527
"IUH","external_validation","primary","egfr_reported","G3plus","death_48h_all","dr",277,0.0144404332129964,0.0288808664259928,0.234864738169757,0.0377093247852858,1.46280649546587,0.12056096113746,-0.0317068224874845,-0.0604436156857017,-0.0029700292892673,0.0310100147102169
"IUH","external_validation","primary","egfr_reported","G3plus","death_48h_never","psm",161,0,0.0496894409937888,8.23335588299582e-09,3.9688790517996e-09,1.70799231247233e-08,0,-0.0496894409937889,-0.0833608207508585,-0.0160180612367194,0.00408496256305529
"IUH","external_validation","primary","egfr_reported","G3plus","death_48h_never","dr",161,0,0.0496894409937888,1.14407918614347e-09,2.13227692377701e-10,6.13858908085987e-09,1.71133195759292e-127,-0.0523089445092697,-0.0858473361531754,-0.018770552865364,0.00242995235569493
"IUH","external_validation","primary","egfr_reported","G3plus","death_48h_censored","psm",218,0.00458715596330275,0.036697247706422,0.120967741935952,0.0149272119288888,0.980303264855731,0.0478571079572563,-0.0321100917431192,-0.0586930540989457,-0.00552712938729281,0.0183452806066139
"IUH","external_validation","primary","egfr_reported","G3plus","death_48h_censored","dr",218,0.00458715596330275,0.036697247706422,0.0765308160680948,0.00581659484016597,1.00694065325022,0.0506138479049321,-0.0422910563915059,-0.0718223438874397,-0.0127597688955722,0.00523267570231064
"IUH","external_validation","primary","egfr_reported","G3plus","death_7d_all","psm",277,0.036101083032491,0.0649819494584837,0.538909696213141,0.243814174875427,1.19116807224571,0.126585875781669,-0.0288808664259926,-0.065350633486933,0.00758890063494793,0.121199790576429
"IUH","external_validation","primary","egfr_reported","G3plus","death_7d_all","dr",277,0.036101083032491,0.0649819494584837,0.290019697921268,0.10240014317482,0.821399488072459,0.0197843767672927,-0.056714423472169,-0.0967284980500508,-0.0167003488942873,0.00565815140216336
"IUH","external_validation","primary","egfr_reported","G3plus","death_7d_never","psm",161,0.0062111801242236,0.0559006211180124,0.105555567416402,0.0131292161698506,0.848639984935625,0.0344874776141461,-0.0496894409937884,-0.0873105749007578,-0.012068307086819,0.0100725262533167
"IUH","external_validation","primary","egfr_reported","G3plus","death_7d_never","dr",161,0.0062111801242236,0.0559006211180124,0.0846057362489086,0.00547175308602962,1.30819693317228,0.0771085481709376,-0.0514121442990945,-0.0895838305740817,-0.0132404580241074,0.00871234336689514
"IUH","external_validation","primary","egfr_reported","G3plus","death_7d_censored","psm",179,0.0167597765363128,0.0502793296089385,0.321969723507547,0.0853865085133343,1.21406185427218,0.0942173083254814,-0.0335195530726258,-0.0707514980763422,0.00371239193109067,0.0784937517312988
"IUH","external_validation","primary","egfr_reported","G3plus","death_7d_censored","dr",179,0.0167597765363128,0.0502793296089385,0.294783105921216,0.063374124609889,1.37117601341982,0.119350919051324,-0.039954896172951,-0.0795027098107439,-0.000407082535158136,0.0484734265465479
"IUH","external_validation","primary","egfr_reported","G3plus","hosp_mort_descriptive","psm",277,0.0794223826714801,0.129963898916967,0.577559912854198,0.329946850168827,1.01099753722596,0.0546421862483953,-0.0505415162454878,-0.101448466986743,0.000365434495767897,0.052170252987658
"IUH","external_validation","primary","egfr_reported","G3plus","hosp_mort_descriptive","dr",277,0.0794223826714801,0.129963898916967,0.36114047003416,0.176061599239167,0.740777316916932,0.0054593960215388,-0.0808456290937778,-0.132201431290036,-0.0294898268975196,0.00213576661421144
