"db","database_role","analysis_set","variant","stratum","outcome","method","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"IUH","external_validation","primary","egfr","G1","aki3_7d","psm",395,0.010126582278481,0.00506329113924051,2.01023017902704,0.365282471006468,11.0627410111873,0.422250798662981,0.00506329113924043,-0.00705509525808416,0.017181677536565,0.413076746919428
"IUH","external_validation","primary","egfr","G1","aki3_7d","dr",395,0.010126582278481,0.00506329113924051,3.08703837708742,0.408073636297476,23.3531527007628,0.274908650157381,0.00632883402957114,-0.00635547220128099,0.0190131402604233,0.328406261078127
"IUH","external_validation","primary","egfr","G1","aki2_rrt_48h","psm",498,0.034136546184739,0.0321285140562249,1.06470893970746,0.531377369633744,2.13333346708823,0.859641020298433,0.00200803212851398,-0.0202453905403433,0.0242614547973712,0.859654294455004
"IUH","external_validation","primary","egfr","G1","aki2_rrt_48h","dr",498,0.034136546184739,0.0321285140562249,1.07982381534085,0.526055807579325,2.21653188763903,0.834206842315133,-0.0012589334935761,-0.0242492607873952,0.0217313938002429,0.91455047497775
"IUH","external_validation","primary","egfr","G1","aki2_rrt_7d","psm",395,0.0582278481012658,0.0556962025316456,1.04826490659102,0.573776123027807,1.91513600913127,0.878160913298776,0.0025316455696202,-0.0298332181742246,0.034896509313465,0.878188971779443
"IUH","external_validation","primary","egfr","G1","aki2_rrt_7d","dr",395,0.0582278481012658,0.0556962025316456,1.06675256957149,0.583842223517212,1.94909000899595,0.83356771413321,-0.00074970898123007,-0.0336893623633317,0.0321899444008715,0.9644297910727
"IUH","external_validation","primary","egfr","G1","death_48h_all","psm",529,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","death_48h_all","dr",529,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","death_48h_never","psm",385,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","death_48h_never","dr",385,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","death_48h_censored","psm",498,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","death_48h_censored","dr",498,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","death_7d_all","psm",529,0.00189035916824197,0.00189035916824197,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","death_7d_all","dr",529,0.00189035916824197,0.00189035916824197,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","death_7d_never","psm",385,0.0025974025974026,0.0025974025974026,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","death_7d_never","dr",385,0.0025974025974026,0.0025974025974026,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","death_7d_censored","psm",395,0.00253164556962025,0.00253164556962025,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","death_7d_censored","dr",395,0.00253164556962025,0.00253164556962025,NA,NA,NA,NA,NA,NA,NA,NA
"IUH","external_validation","primary","egfr","G1","hosp_mort_descriptive","psm",529,0.00756143667296786,0.00189035916824197,4.02285714285499,0.447195810797462,36.1885760131796,0.214246606960599,0.00567107750472599,-0.00259493615258412,0.0139370911620361,0.179010751249644
"IUH","external_validation","primary","egfr","G1","hosp_mort_descriptive","dr",529,0.00756143667296786,0.00189035916824197,4.27837101987579,0.527089178423873,34.7274414520289,0.173645762396736,0.00624009858383034,-0.00276768179137184,0.0152478789590325,0.174825447630466
"IUH","external_validation","primary","egfr","G2","aki1_48h","psm",548,0.20985401459854,0.171532846715328,1.28273794899591,0.947483028690234,1.73661859470854,0.107185137377425,0.0383211678832112,-0.00818222357324833,0.0848245593396708,0.106568714724915
