"db","analysis","outcome","method","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"EICU","map_rematched","aki2_48h","psm",60,52,FALSE,1870,0.0320855614973262,0.027807486631016,1.15894602631197,0.794848885941978,1.6898254695451,0.443278752504203,0.00427807486631015,-0.00664898348711314,0.0152051332197334,0.442913835072692
"EICU","map_rematched","aki2_48h","dr",60,52,FALSE,1870,0.0320855614973262,0.027807486631016,1.26906747263214,0.876140785493532,1.83821170839081,0.207484668236691,0.00672340285826257,-0.00387136051481085,0.017318166231336,0.213647661270174
"EICU","map_rematched","aki1_7d","psm",486,410,FALSE,1796,0.270601336302895,0.228285077951002,1.25413517036036,1.07768727933732,1.45947257213798,0.00342126661139876,0.0423162583518931,0.0140416486225275,0.0705908680812587,0.00337427593071885
"EICU","map_rematched","aki1_7d","dr",486,410,FALSE,1796,0.270601336302895,0.228285077951002,1.34525694769651,1.14901207699181,1.57501935059177,0.000227302585415051,0.0525801203411701,0.0241901261222035,0.0809701145601367,0.000287324538952573
"EICU","map_rematched","aki2_7d","psm",106,88,FALSE,1796,0.0590200445434298,0.0489977728285078,1.21737492319814,0.910344227010342,1.62795749086993,0.184667286818403,0.0100222717149221,-0.00476228520890756,0.0248068286387517,0.184044542580831
"EICU","map_rematched","aki2_7d","dr",106,88,FALSE,1796,0.0590200445434298,0.0489977728285078,1.24555864020011,0.932957433732081,1.66290151092002,0.136401799220505,0.0109075454792085,-0.00373582785473515,0.0255509188131522,0.144387705249005
"EICU","frozen_pairs_map_dr_augmented","aki1_48h","dr",454,422,FALSE,1887,0.240593534711182,0.223635400105988,1.21774771140566,1.0345508916839,1.43338476681417,0.0178674646403153,0.0305451018822589,0.00306726080053179,0.0580229429639861,0.0294091909987939
"EICU","frozen_pairs_map_dr_augmented","aki2_48h","dr",64,53,FALSE,1887,0.0339162692103869,0.0280869104398516,1.27489022518,0.878114762431117,1.85094836779607,0.201704963378694,0.0071912097563958,-0.00386676526216412,0.0182491847749557,0.202520651779162
"EICU","frozen_pairs_map_dr_augmented","aki1_7d","dr",485,442,FALSE,1815,0.267217630853994,0.243526170798898,1.20714846444447,1.02868222290822,1.4165768424489,0.0210854495237084,0.0323619659183922,0.00315385737711757,0.0615700744596667,0.0299476334038246
"EICU","frozen_pairs_map_dr_augmented","aki2_7d","dr",104,88,FALSE,1815,0.0573002754820937,0.0484848484848485,1.17980999732975,0.873786312157843,1.59301148396542,0.28044183280465,0.00816686571131449,-0.00686717988792632,0.0232009113105553,0.287073395533201
"MIMIC","mimic_reference","aki1_48h","psm",1658,1180,FALSE,4690,0.353518123667377,0.251599147121535,1.62659876570336,1.48796313926891,1.77815126918243,9.7737148048342e-27,0.101918976545842,0.0834390309521083,0.120398922139576,4.47447239461821e-27
"MIMIC","mimic_reference","aki1_48h","dr",1658,1180,FALSE,4690,0.353518123667377,0.251599147121535,1.88246077439464,1.71303990488616,2.06863748884469,1.78091917589923e-39,0.122746730827495,0.104807625879478,0.140685835775512,1.23160344249963e-40
