"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"IUH","aki1_48h","RD",82,1235,293,301,-0.0553107950548738,-0.0958154056082529,-0.0148061845014946,0.00744034142054749,"G2_60_89",FALSE
"IUH","aki1_48h","RD",84,1235,293,301,-0.0590299964800305,-0.099535462929844,-0.018524530030217,0.00428508984009461,"G2_60_89",FALSE
"IUH","aki1_48h","RD",86,1235,293,301,-0.0620819565427641,-0.103190598477987,-0.0209733146075413,0.00307662005745157,"G2_60_89",FALSE
"IUH","aki1_48h","RD",88,1235,293,301,-0.0645171759066992,-0.106648667566236,-0.0223856842471625,0.00268736981864402,"G2_60_89",FALSE
"IUH","aki1_48h","RD",90,1235,293,301,-0.0663861552354629,-0.109741326101457,-0.0230309843694688,0.00268931616563436,"G1_ge90",FALSE
"IUH","aki1_48h","RD",92,1235,293,301,-0.0677325412619904,-0.112306059264799,-0.0231590232591818,0.00289799675713915,"G1_ge90",FALSE
"IUH","aki1_48h","RD",94,1235,293,301,-0.0685725649964547,-0.114238221791046,-0.0229069082018635,0.00324859943230399,"G1_ge90",FALSE
"IUH","aki1_48h","RD",96,1235,293,301,-0.0689156035183389,-0.115493044534442,-0.0223381625022362,0.00373162559135177,"G1_ge90",FALSE
"IUH","aki1_48h","RD",98,1235,293,301,-0.0687710339071249,-0.116072549110362,-0.0214695187038875,0.00437718316423409,"G1_ge90",FALSE
"IUH","aki1_48h","RD",100,1235,293,301,-0.0681482332422962,-0.116018194246505,-0.0202782722380869,0.00526626722825036,"G1_ge90",FALSE
"IUH","aki1_48h","RD",102,1235,293,301,-0.0670565786033348,-0.115406356299833,-0.0187068009068364,0.00656113664968883,"G1_ge90",FALSE
"IUH","aki1_48h","RD",104,1235,293,301,-0.0655054470697237,-0.114345233602302,-0.0166656605371452,0.00856834093223681,"G1_ge90",FALSE
"IUH","aki1_48h","RD",106,1235,293,301,-0.0635042157209453,-0.112971349849155,-0.0140370815927358,0.0118634241448721,"G1_ge90",FALSE
"IUH","aki1_48h","RD",108,1235,293,301,-0.0610622616364824,-0.111443630803655,-0.01068089246931,0.0175241647079007,"G1_ge90",FALSE
"IUH","aki1_48h","RD",110,1235,293,301,-0.0581889618958176,-0.109933374030128,-0.00644454976150743,0.0275166238828122,"G1_ge90",FALSE
"IUH","aki1_48h","RD",112,1235,293,301,-0.0548936935784338,-0.108609830561927,-0.00117755659494041,0.045180851312285,"G1_ge90",FALSE
"IUH","aki1_48h","RD",114,1235,293,301,-0.0511858337638132,-0.107623556528323,0.00525188900069672,0.0754680065183301,"G1_ge90",FALSE
"IUH","aki1_48h","RD",116,1235,293,301,-0.0470747595314391,-0.107091934683214,0.0129424156203355,0.124211193967298,"G1_ge90",FALSE
"IUH","aki1_48h","RD",118,1235,293,301,-0.0425698479607932,-0.10709136289339,0.0219516669718035,0.195954334836609,"G1_ge90",FALSE
"IUH","aki1_48h","RD",120,1235,293,301,-0.0376804761313588,-0.107657927257286,0.0322969749945681,0.291245484897476,"G1_ge90",FALSE
"IUH","aki1_7d","OR",30,1069,288,295,6.29859637171183,2.41486053822078,16.4284088566751,0.000168232286391953,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",32,1069,288,295,5.49395531324619,2.32164777099969,13.0009148506404,0.000105946956100306,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",34,1069,288,295,4.80644572946326,2.22380498830372,10.3884651180216,6.53999398166783e-05,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",36,1069,288,295,4.21834055433455,2.12109147717705,8.38926431217669,4.06679004684328e-05,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",38,1069,288,295,3.71465946617714,2.01334225361863,6.8536260662382,2.67645496192489e-05,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",40,1069,288,295,3.28274574784763,1.90057007381602,5.67009856330867,2.01747593155629e-05,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",42,1069,288,295,2.91190671901488,1.78313781947559,4.75521333664365,1.94202790893908e-05,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",44,1069,288,295,2.59310879754298,1.66199733608821,4.04586282413747,2.68819745315652e-05,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",46,1069,288,295,2.31871934941596,1.5389234273279,3.49364973323679,5.79197030382489e-05,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",48,1069,288,295,2.08228849595677,1.41657992515852,3.06084062281817,0.000190068114149611,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",50,1069,288,295,1.87836495940983,1.29824600682753,2.71770904911971,0.000822938882014953,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",52,1069,288,295,1.70234084391256,1.18721710702762,2.44097253290802,0.00381198726860306,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",54,1069,288,295,1.55032097226941,1.08615823829609,2.21284066383261,0.0157240306957417,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",56,1069,288,295,1.41901303560912,0.996729180078792,2.02020572435676,0.0521587068289773,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",58,1069,288,295,1.3056353700282,0.919574652974553,1.85377414868335,0.135912041492618,"G3plus_lt60",FALSE
"IUH","aki1_7d","OR",60,1069,288,295,1.20783965940027,0.854547634089383,1.70719171714137,0.284780850052537,"G2_60_89",FALSE
"IUH","aki1_7d","OR",62,1069,288,295,1.12358493048202,0.800827004220462,1.57642423314031,0.500033454478817,"G2_60_89",FALSE
"IUH","aki1_7d","OR",64,1069,288,295,1.05093122190805,0.756740952068445,1.45949076782784,0.766865961590896,"G2_60_89",FALSE
"IUH","aki1_7d","OR",66,1069,288,295,0.988219148246107,0.720515247048562,1.35538711909373,0.941392820486262,"G2_60_89",FALSE
"IUH","aki1_7d","OR",68,1069,288,295,0.934074743014967,0.690508012132467,1.26355612130261,0.658180938258717,"G2_60_89",FALSE
"IUH","aki1_7d","OR",70,1069,288,295,0.887356633966062,0.665219648162489,1.18367188644922,0.41624421856284,"G2_60_89",FALSE
"IUH","aki1_7d","OR",72,1069,288,295,0.847113868272944,0.643300100969674,1.1155009998268,0.237365782014135,"G2_60_89",FALSE
"IUH","aki1_7d","OR",74,1069,288,295,0.812552097386036,0.623584267599786,1.05878378476057,0.124284481628792,"G2_60_89",FALSE
"IUH","aki1_7d","OR",76,1069,288,295,0.783006351844862,0.605166896616067,1.01310721134564,0.0627536116727779,"G2_60_89",FALSE
"IUH","aki1_7d","OR",78,1069,288,295,0.757919032408235,0.587495201596035,0.977780342930568,0.0329321061469351,"G2_60_89",FALSE
"IUH","aki1_7d","OR",80,1069,288,295,0.736822046537481,0.570422559081648,0.951762372683392,0.0193577004860458,"G2_60_89",FALSE
"IUH","aki1_7d","OR",82,1069,288,295,0.719322251548472,0.554169588925888,0.933693425104136,0.0133038856803477,"G2_60_89",FALSE
"IUH","aki1_7d","OR",84,1069,288,295,0.705089544736562,0.539195843569156,0.922023550489498,0.0106740307005981,"G2_60_89",FALSE
"IUH","aki1_7d","OR",86,1069,288,295,0.693847079245847,0.526043344505135,0.915178900002778,0.0096683969147936,"G2_60_89",FALSE
"IUH","aki1_7d","OR",88,1069,288,295,0.685363191980357,0.515213576525693,0.911704827518417,0.00946177855752806,"G2_60_89",FALSE
"IUH","aki1_7d","OR",90,1069,288,295,0.679444713655988,0.507096301827481,0.910369721197698,0.00962329932082391,"G1_ge90",FALSE
