"db","outcome","scale","egfr","n_pairs","events_trt","events_ctl","estimate","ci_lo","ci_hi","p","egfr_cell","sparse_lt20"
"MIMIC","aki1_48h","RD",88,4690,1658,1180,0.0655964282011042,0.0405045784213464,0.090688277980862,2.99224680539341e-07,"G2_60_89",FALSE
"MIMIC","aki1_48h","RD",90,4690,1658,1180,0.0542463395100574,0.0290523024121591,0.0794403766079557,2.44130802765214e-05,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",92,4690,1658,1180,0.0432662958150956,0.018129326305444,0.0684032653247471,0.000741935993132726,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",94,4690,1658,1180,0.032653248043469,0.00773283626762674,0.0575736598193113,0.0102230941197033,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",96,4690,1658,1180,0.0224003999743754,-0.00221194369868545,0.0470127436474362,0.0744476812398242,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",98,4690,1658,1180,0.0125009553870122,-0.0118408499600998,0.0368427607341242,0.314138661433581,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",100,4690,1658,1180,0.00294811806057682,-0.0213506139680235,0.0272468500891772,0.812033890913624,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",102,4690,1658,1180,-0.00626490822573322,-0.0309859681698252,0.0184561517183587,0.619392929418571,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",104,4690,1658,1180,-0.0151449196927205,-0.041002507647364,0.0107126682619231,0.250976041571752,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",106,4690,1658,1180,-0.0236987125611873,-0.0516097088457792,0.00421228372340467,0.0960724924001179,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",108,4690,1658,1180,-0.0319330830519362,-0.0629248062627379,-0.000941359841134498,0.0434317336134212,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",110,4690,1658,1180,-0.0398548273857698,-0.0749682309567447,-0.00474142381479494,0.0261039235736892,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",112,4690,1658,1180,-0.0474707417834908,-0.0876952928715551,-0.0072461906954264,0.0207181737800631,"G1_ge90",FALSE
"MIMIC","aki1_48h","RD",114,4690,1658,1180,-0.0547876224659012,-0.101034403327761,-0.00854084160404176,0.0202344319676006,"G1_ge90",FALSE
