hospitalid,n_treated,map_periodic_n_treated,map_periodic_pct_treated,map_aperiodic_n_treated,map_aperiodic_pct_treated,map_any_n_treated,map_any_pct_treated,vaso_infusion_interface_near_t0_n_treated,vaso_infusion_interface_near_t0_pct_treated,vaso_rate_near_t0_n_treated,vaso_rate_near_t0_pct_treated,vaso_active_med_interval_n_treated,vaso_active_med_interval_pct_treated,vaso_best_effort_n_treated,vaso_best_effort_pct_treated,vaso_positive_best_effort_n_treated,vaso_positive_best_effort_pct_treated,vent_explicit_state_n_treated,vent_explicit_state_pct_treated,vent_explicit_on_n_treated,vent_explicit_on_pct_treated,vent_explicit_off_n_treated,vent_explicit_off_pct_treated,vent_setting_on_n_treated,vent_setting_on_pct_treated,vent_care_interval_on_n_treated,vent_care_interval_on_pct_treated,vent_treatment_support_n_treated,vent_treatment_support_pct_treated,vent_clean_n_treated,vent_clean_pct_treated,vent_positive_clean_n_treated,vent_positive_clean_pct_treated,n_control,map_periodic_n_control,map_periodic_pct_control,map_aperiodic_n_control,map_aperiodic_pct_control,map_any_n_control,map_any_pct_control,vaso_infusion_interface_near_t0_n_control,vaso_infusion_interface_near_t0_pct_control,vaso_rate_near_t0_n_control,vaso_rate_near_t0_pct_control,vaso_active_med_interval_n_control,vaso_active_med_interval_pct_control,vaso_best_effort_n_control,vaso_best_effort_pct_control,vaso_positive_best_effort_n_control,vaso_positive_best_effort_pct_control,vent_explicit_state_n_control,vent_explicit_state_pct_control,vent_explicit_on_n_control,vent_explicit_on_pct_control,vent_explicit_off_n_control,vent_explicit_off_pct_control,vent_setting_on_n_control,vent_setting_on_pct_control,vent_care_interval_on_n_control,vent_care_interval_on_pct_control,vent_treatment_support_n_control,vent_treatment_support_pct_control,vent_clean_n_control,vent_clean_pct_control,vent_positive_clean_n_control,vent_positive_clean_pct_control,frozen_pair_rows_treated_site,frozen_pair_rows_control_site,frozen_unique_treated_site,frozen_unique_control_site,frozen_same_site_pair_rows,map_pass_both,vaso_best_effort_pass_both,vent_clean_pass_both,n_treated_pass,high_fidelity_site,vaso_schema_note,vent_schema_note
199,53,38,0.7169811320754716,21,0.39622641509433965,39,0.7358490566037735,25,0.4716981132075472,23,0.4339622641509434,15,0.2830188679245283,28,0.5283018867924528,27,0.5094339622641509,0,0.0,0,0.0,0,0.0,32,0.6037735849056604,32,0.6037735849056604,30,0.5660377358490566,39,0.7358490566037735,39,0.7358490566037735,128,103,0.8046875,18,0.140625,103,0.8046875,38,0.296875,20,0.15625,11,0.0859375,41,0.3203125,24,0.1875,0,0.0,0,0.0,0,0.0,120,0.9375,120,0.9375,95,0.7421875,123,0.9609375,123,0.9609375,39,29,39,23,0,False,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
202,24,5,0.20833333333333334,2,0.08333333333333333,6,0.25,5,0.20833333333333334,4,0.16666666666666666,0,0.0,5,0.20833333333333334,4,0.16666666666666666,0,0.0,0,0.0,0,0.0,6,0.25,21,0.875,3,0.125,22,0.9166666666666666,22,0.9166666666666666,18,13,0.7222222222222222,6,0.3333333333333333,14,0.7777777777777778,5,0.2777777777777778,5,0.2777777777777778,1,0.05555555555555555,5,0.2777777777777778,5,0.2777777777777778,0,0.0,0,0.0,0,0.0,17,0.9444444444444444,16,0.8888888888888888,11,0.6111111111111112,17,0.9444444444444444,17,0.9444444444444444,17,4,17,4,0,False,False,True,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
206,37,8,0.21621621621621623,6,0.16216216216216217,9,0.24324324324324326,8,0.21621621621621623,6,0.16216216216216217,0,0.0,8,0.21621621621621623,6,0.16216216216216217,0,0.0,0,0.0,0,0.0,29,0.7837837837837838,36,0.972972972972973,5,0.13513513513513514,36,0.972972972972973,36,0.972972972972973,29,16,0.5517241379310345,7,0.2413793103448276,16,0.5517241379310345,6,0.20689655172413793,4,0.13793103448275862,3,0.10344827586206896,7,0.2413793103448276,5,0.1724137931034483,0,0.0,0,0.0,0,0.0,21,0.7241379310344828,17,0.5862068965517241,14,0.4827586206896552,21,0.7241379310344828,21,0.7241379310344828,30,14,30,10,2,False,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
208,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,433,227,0.5242494226327945,370,0.8545034642032333,425,0.9815242494226328,38,0.08775981524249422,17,0.03926096997690531,0,0.0,38,0.08775981524249422,17,0.03926096997690531,0,0.0,0,0.0,0,0.0,99,0.22863741339491916,183,0.4226327944572748,102,0.23556581986143188,190,0.4387990762124711,190,0.4387990762124711,0,71,0,57,0,False,False,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
212,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,3,0.3333333333333333,7,0.7777777777777778,8,0.8888888888888888,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1111111111111111,0,0.0,3,0.3333333333333333,1,0.1111111111111111,1,0.1111111111111111,0,1,0,1,0,False,False,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
217,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,253,30,0.11857707509881422,245,0.9683794466403162,247,0.9762845849802372,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,0.08300395256916997,0,0.0,30,0.11857707509881422,21,0.08300395256916997,21,0.08300395256916997,0,14,0,13,0,False,False,False,False,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
227,84,63,0.75,56,0.6666666666666666,70,0.8333333333333334,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,52,0.6190476190476191,57,0.6785714285714286,25,0.2976190476190476,67,0.7976190476190477,67,0.7976190476190477,310,157,0.5064516129032258,222,0.7161290322580646,290,0.9354838709677419,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,122,0.3935483870967742,99,0.3193548387096774,53,0.17096774193548386,137,0.44193548387096776,137,0.44193548387096776,63,53,63,33,2,True,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
243,58,55,0.9482758620689655,40,0.6896551724137931,56,0.9655172413793104,48,0.8275862068965517,40,0.6896551724137931,53,0.9137931034482759,55,0.9482758620689655,55,0.9482758620689655,0,0.0,0,0.0,0,0.0,53,0.9137931034482759,51,0.8793103448275862,37,0.6379310344827587,56,0.9655172413793104,56,0.9655172413793104,43,41,0.9534883720930233,39,0.9069767441860465,42,0.9767441860465116,38,0.8837209302325582,26,0.6046511627906976,38,0.8837209302325582,41,0.9534883720930233,41,0.9534883720930233,0,0.0,0,0.0,0,0.0,36,0.8372093023255814,13,0.3023255813953488,36,0.8372093023255814,37,0.8604651162790697,37,0.8604651162790697,54,4,54,4,0,True,True,True,True,True,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
248,174,141,0.8103448275862069,161,0.9252873563218391,166,0.9540229885057471,94,0.5402298850574713,67,0.3850574712643678,0,0.0,94,0.5402298850574713,67,0.3850574712643678,0,0.0,0,0.0,0,0.0,118,0.6781609195402298,119,0.6839080459770115,90,0.5172413793103449,129,0.7413793103448276,129,0.7413793103448276,405,63,0.15555555555555556,380,0.9382716049382716,380,0.9382716049382716,111,0.2740740740740741,44,0.10864197530864197,0,0.0,111,0.2740740740740741,44,0.10864197530864197,0,0.0,0,0.0,0,0.0,92,0.2271604938271605,130,0.32098765432098764,55,0.13580246913580246,135,0.3333333333333333,135,0.3333333333333333,162,34,162,31,3,True,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
252,138,129,0.9347826086956522,47,0.34057971014492755,136,0.9855072463768116,58,0.42028985507246375,39,0.2826086956521739,0,0.0,58,0.42028985507246375,39,0.2826086956521739,0,0.0,0,0.0,0,0.0,96,0.6956521739130435,90,0.6521739130434783,78,0.5652173913043478,99,0.717391304347826,99,0.717391304347826,398,115,0.2889447236180904,322,0.8090452261306532,365,0.9170854271356784,94,0.23618090452261306,36,0.09045226130653267,0,0.0,94,0.23618090452261306,36,0.09045226130653267,0,0.0,0,0.0,0,0.0,108,0.271356783919598,123,0.30904522613065327,81,0.20351758793969849,130,0.32663316582914576,130,0.32663316582914576,123,37,123,31,4,True,False,False,True,False,best-effort only: infusionDrug has point offsets/rates but no stop; medication contributes only explicit active IV pressor intervals,absence is not off; treatment events are support-only and excluded from clean recoverability
