"db","sampling_scheme","outcome","method","events_trt","events_ctl","sparse_lt20","n","rate_trt","rate_ctl","or","or_ci_lo","or_ci_hi","or_p","rd","rd_ci_lo","rd_ci_hi","rd_p"
"IUH","daily_peak","aki2_48h","psm",46,49,FALSE,1235,0.037246963562753,0.0396761133603239,0.936406858790657,0.621128949366315,1.41171620817991,0.753739986588571,-0.00242914979757073,-0.017603198851739,0.0127448992565975,0.753723637914188
"IUH","daily_peak","aki2_48h","dr",46,49,FALSE,1235,0.037246963562753,0.0396761133603239,1.08470036728669,0.709690463299307,1.65787050501151,0.707188737918612,0.00254743721503294,-0.0128891125170301,0.017983986947096,0.746380727326674
"IUH","daily_peak","aki1_7d","psm",288,295,FALSE,1069,0.269410664172124,0.275958840037418,0.967520996549695,0.79972750273517,1.1705198027615,0.734026106625618,-0.00654817586529656,-0.0443197843009036,0.0312234325703105,0.734047889942794
"IUH","daily_peak","aki1_7d","dr",288,295,FALSE,1069,0.269410664172124,0.275958840037418,1.13693009283991,0.92605968814533,1.39581719467104,0.220165013265756,0.0197422164231354,-0.016883745295733,0.0563681781420038,0.290866991298858
"IUH","daily_peak","aki2_7d","psm",68,67,FALSE,1069,0.0636108512628625,0.0626753975678204,1.01593928457088,0.716825711803725,1.4398655251041,0.929179637211524,0.000935453695042099,-0.0196938370999734,0.0215647444900576,0.929187233125212
"IUH","daily_peak","aki2_7d","dr",68,67,FALSE,1069,0.0636108512628625,0.0626753975678204,1.08264837472973,0.744499334782367,1.57438354682688,0.677661354365661,0.00383710761054941,-0.0173229619763247,0.0249971771974235,0.72230950466915
"IUH","both_members_ge3_cr","aki1_48h","psm",54,55,FALSE,98,0.551020408163265,0.561224489795918,0.959504133683825,0.544531797345834,1.69071519247138,0.886268357746307,-0.0102040816326527,-0.150027239456804,0.129619076191498,0.886408766059383
"IUH","both_members_ge3_cr","aki1_48h","dr",54,55,FALSE,98,0.551020408163265,0.561224489795918,1.2625852556149,0.649118106512403,2.45582662338767,0.492145354644776,0.0513119257806646,-0.0850533144305842,0.187677165991913,0.461733792846626
"IUH","both_members_ge3_cr","aki2_48h","psm",9,10,TRUE,98,0.0918367346938776,0.102040816326531,0.889887640449441,0.343328696616613,2.30653604090942,0.810268331749351,-0.0102040816326537,-0.0934624671736102,0.0730543039083028,0.810416418025682
"IUH","both_members_ge3_cr","aki2_48h","dr",9,10,TRUE,98,0.0918367346938776,0.102040816326531,0.913019148923664,0.325692184039753,2.55948409925472,0.862630231362641,-0.0131773264300678,-0.0971913460130839,0.0708366931529483,0.75886607910158
"IUH","both_members_ge3_cr","aki1_7d","psm",276,282,FALSE,990,0.278787878787879,0.284848484848485,0.970498837833315,0.797821579188646,1.18054966023062,0.76450895757923,-0.00606060606060736,-0.045712576943972,0.0335913648227572,0.764531894173713
"IUH","both_members_ge3_cr","aki1_7d","dr",276,282,FALSE,990,0.278787878787879,0.284848484848485,1.14696035064949,0.928140806412457,1.41736904236208,0.204247367954469,0.0216292872775718,-0.0167975308460797,0.0600561054012233,0.270064408453771
"IUH","both_members_ge3_cr","aki2_7d","psm",66,65,FALSE,990,0.0666666666666667,0.0656565656565657,1.01648351647352,0.713012263331622,1.44911776753244,0.927996367456978,0.00101010101010098,-0.0208983130358496,0.0229185150560516,0.928004717119615
"IUH","both_members_ge3_cr","aki2_7d","dr",66,65,FALSE,990,0.0666666666666667,0.0656565656565657,1.07873657769771,0.73710450655649,1.57870775949975,0.696476091065426,0.00355659962235859,-0.0188293429361088,0.025942542180826,0.755531090316762
